"Ticker","Sector","Name"
"JEC","Industrials","Jacobs Engineering Group"
"JNS","Financials","Janus Capital Group"
"JDSU","Information Technology","JDS Uniphase Corp."
"JNJ","Health Care","Johnson & Johnson"
"JCI","Consumer Discretionary","Johnson Controls"
"JOYG","Industrials","Joy Global Inc."
"JPM","Financials","JPMorgan Chase & Co."
"JNPR","Information Technology","Juniper Networks"
"K","Consumer Staples","Kellogg Co."
"KEY","Financials","KeyCorp"
"KMB","Consumer Staples","Kimberly-Clark"
"KIM","Financials","Kimco Realty"
"KLAC","Information Technology","KLA-Tencor Corp."
"KSS","Consumer Discretionary","Kohl's Corp."
"KFT","Consumer Staples","Kraft Foods Inc-A"
"KR","Consumer Staples","Kroger Co."
"LLL","Industrials","L-3 Communications Holdings"
"LH","Health Care","Laboratory Corp. of America Holding"
"LM","Financials","Legg Mason"
"LEG","Consumer Discretionary","Leggett & Platt"
"LEN","Consumer Discretionary","Lennar Corp."
"LUK","Financials","Leucadia National Corp."
"LXK","Information Technology","Lexmark Int'l Inc"
"LIFE","Health Care","Life Technologies"
"LLY","Health Care","Lilly (Eli) & Co."
"LTD","Consumer Discretionary","Limited Brands Inc."
"LNC","Financials","Lincoln National"
"LLTC","Information Technology","Linear Technology Corp."
"LMT","Industrials","Lockheed Martin Corp."
"L","Financials","Loews Corp."
"LOW","Consumer Discretionary","Lowe's Cos."
"LSI","Information Technology","LSI Corporation"
"MTB","Financials","M&T Bank Corp."
"M","Consumer Discretionary","Macy's Inc."
"MRO","Energy","Marathon Oil Corp."
"MAR","Consumer Discretionary","Marriott Int'l."
"MMC","Financials","Marsh & McLennan"
"MI","Financials","Marshall & Ilsley Corp."
"MAS","Industrials","Masco Corp."
"MAT","Consumer Discretionary","Mattel Inc."
"MKC","Consumer Staples","McCormick & Co."
"MCD","Consumer Discretionary","McDonald's Corp."
"MHP","Consumer Discretionary","McGraw-Hill"
"MCK","Health Care","McKesson Corp."
"MWV","Materials","MeadWestvaco Corporation"
"MDT","Health Care","Medtronic Inc."
"WFR","Information Technology","MEMC Electronic Materials"
"MRK","Health Care","Merck & Co."
"MET","Financials","MetLife Inc."
"MCHP","Information Technology","Microchip Technology"
"MU","Information Technology","Micron Technology"
"MSFT","Information Technology","Microsoft Corp."
"MOLX","Information Technology","Molex Inc."
"TAP","Consumer Staples","Molson Coors Brewing Company"
"MON","Materials","Monsanto Co."
"MWW","Industrials","Monster Worldwide"
"MCO","Financials","Moody's Corp"
"MS","Financials","Morgan Stanley"
"MSI","Information Technology","Motorola Solutions Inc."
"MUR","Energy","Murphy Oil"
"MYL","Health Care","Mylan Inc."
"NBR","Energy","Nabors Industries Ltd."
"NDAQ","Financials","NASDAQ OMX Group"
"NOV","Energy","National Oilwell Varco Inc."
"NSM","Information Technology","National Semiconductor"
"NTAP","Information Technology","NetApp"
"NFLX","Information Technology","NetFlix Inc."
"NWL","Consumer Discretionary","Newell Rubbermaid Co."
"NFX","Energy","Newfield Exploration Co"
"NEM","Materials","Newmont Mining Corp. (Hldg. Co.)"
"NWSA","Consumer Discretionary","News Corporation"
"NEE","Utilities","NextEra Energy Resources"
"GAS","Utilities","NICOR Inc."
"NKE","Consumer Discretionary","NIKE Inc."
"NI","Utilities","NiSource Inc."
"NE","Energy","Noble Corp"
"NBL","Energy","Noble Energy Inc"
"JWN","Consumer Discretionary","Nordstrom"
"NSC","Industrials","Norfolk Southern Corp."
"NTRS","Financials","Northern Trust Corp."
"NOC","Industrials","Northrop Grumman Corp."
"NU","Utilities","Northeast Utilities"
"NVLS","Information Technology","Novellus Systems"
"NUE","Materials","Nucor Corp."
"NVDA","Information Technology","Nvidia Corporation"
"ORLY","Consumer Discretionary","O'Reilly Automotive"
"OXY","Energy","Occidental Petroleum"
"OMC","Consumer Discretionary","Omnicom Group"
"OKE","Utilities","ONEOK"
"ORCL","Information Technology","Oracle Corp."
"OI","Materials","Owens-Illinois Inc"
"PCAR","Industrials","PACCAR Inc."
"IR","Industrials","Ingersoll-Rand PLC"
"PLL","Industrials","Pall Corp."
"PH","Industrials","Parker-Hannifin"
"PDCO","Health Care","Patterson Companies"
"PAYX","Information Technology","Paychex Inc."
"BTU","Energy","Peabody Energy"
"JCP","Consumer Discretionary","Penney (J.C.)"
"PBCT","Financials","People's United Bank"
"POM","Utilities","Pepco Holdings Inc."
"PEP","Consumer Staples","PepsiCo Inc."
"PKI","Health Care","PerkinElmer"
"PFE","Health Care","Pfizer Inc."
"PCG","Utilities","PG&E Corp."
"PNW","Utilities","Pinnacle West Capital"
"PXD","Energy","Pioneer Natural Resources"
"PBI","Industrials","Pitney-Bowes"
"PCL","Financials","Plum Creek Timber Co."
"PNC","Financials","PNC Financial Services"
"RL","Consumer Discretionary","Polo Ralph Lauren Corp."
"PPG","Materials","PPG Industries"
"PPL","Utilities","PPL Corp."
"PX","Materials","Praxair Inc."
"PCP","Industrials","Precision Castparts"
"PCLN","Industrials","Priceline.com Inc"
"PFG","Financials","Principal Financial Group"
"PG","Consumer Staples","Procter & Gamble"
"PGN","Utilities","Progress Energy Inc."
"PGR","Financials","Progressive Corp."
"PLD","Financials","ProLogis"
"PRU","Financials","Prudential Financial"
"PSA","Financials","Public Storage"
"PHM","Consumer Discretionary","Pulte Homes Inc."
"PWR","Industrials","Quanta Services Inc."
"QCOM","Information Technology","QUALCOMM Inc."
"DGX","Health Care","Quest Diagnostics"
"RSH","Consumer Discretionary","RadioShack Corp"
"RRC","Energy","Range Resources Corp."
"RTN","Industrials","Raytheon Co."
"RHT","Information Technology","Red Hat Inc."
"RF","Financials","Regions Financial Corp."
"RSG","Industrials","Republic Services Inc"
"RAI","Consumer Staples","Reynolds American Inc."
"RHI","Industrials","Robert Half International"
"ROK","Industrials","Rockwell Automation Inc."
"COL","Industrials","Rockwell Collins"
"ROP","Industrials","Roper Industries"
"ROST","Consumer Discretionary","Ross Stores Inc."
"RDC","Energy","Rowan Cos."
"R","Industrials","Ryder System"
"SWY","Consumer Staples","Safeway Inc."
"SNDK","Information Technology","SanDisk Corporation"
"SLE","Consumer Staples","Sara Lee Corp."
"SCG","Utilities","SCANA Corp"
"SLB","Energy","Schlumberger Ltd."
"SEE","Materials","Sealed Air Corp.(New)"
"SRE","Utilities","Sempra Energy"
"SHW","Consumer Discretionary","Sherwin-Williams"
"SIAL","Materials","Sigma-Aldrich"
"SPG","Financials","Simon Property Group Inc"
"SLM","Financials","SLM Corporation"
"SJM","Consumer Staples","Smucker (J.M.)"
"SNA","Consumer Discretionary","Snap-On Inc."
"SO","Utilities","Southern Co."
"LUV","Industrials","Southwest Airlines"
"SWN","Energy","Southwestern Energy"
"S","Telecommunications Services","Sprint Nextel Corp."
"STJ","Health Care","St Jude Medical"
"SWK","Consumer Discretionary","Stanley Black & Decker"
"SPLS","Consumer Discretionary","Staples Inc."
"SBUX","Consumer Discretionary","Starbucks Corp."
"HOT","Consumer Discretionary","Starwood Hotels & Resorts"
"STT","Financials","State Street Corp."
"SRCL","Industrials","Stericycle Inc"
"SYK","Health Care","Stryker Corp."
"SUN","Energy","Sunoco Inc."
"STI","Financials","SunTrust Banks"
"SVU","Consumer Staples","Supervalu Inc."
"SYMC","Information Technology","Symantec Corp."
"SYY","Consumer Staples","Sysco Corp."
"TROW","Financials","T. Rowe Price Group"
"TGT","Consumer Discretionary","Target Corp."
"TE","Utilities","TECO Energy"
"TLAB","Information Technology","Tellabs Inc."
"THC","Health Care","Tenet Healthcare Corp."
"TER","Information Technology","Teradyne Inc."
"TSO","Energy","Tesoro Petroleum Co."
"TXN","Information Technology","Texas Instruments"
"TXT","Industrials","Textron Inc."
"HSY","Consumer Staples","The Hershey Company"
"TRV","Financials","The Travelers Companies Inc."
"TMO","Health Care","Thermo Fisher Scientific"
"TIF","Consumer Discretionary","Tiffany & Co."
"TWX","Consumer Discretionary","Time Warner Inc."
"TIE","Materials","Titanium Metals Corp"
"TJX","Consumer Discretionary","TJX Companies Inc."
"TMK","Financials","Torchmark Corp."
"TSS","Information Technology","Total System Services"
"TSN","Consumer Staples","Tyson Foods"
"TYC","Industrials","Tyco International"
"USB","Financials","U.S. Bancorp"
"UNP","Industrials","Union Pacific"
"UNH","Health Care","United Health Group Inc."
"UPS","Industrials","United Parcel Service"
"X","Materials","United States Steel Corp."
"UTX","Industrials","United Technologies"
"UNM","Financials","Unum Group"
"URBN","Consumer Discretionary","Urban Outfitters"
"VFC","Consumer Discretionary","V.F. Corp."
"VLO","Energy","Valero Energy"
"VAR","Health Care","Varian Medical Systems"
"VTR","Financials","Ventas Inc"
"VRSN","Information Technology","Verisign Inc."
"VZ","Telecommunications Services","Verizon Communications"
"VNO","Financials","Vornado Realty Trust"
"VMC","Materials","Vulcan Materials"
"WMT","Consumer Staples","Wal-Mart Stores"
"WAG","Consumer Staples","Walgreen Co."
"DIS","Consumer Discretionary","Walt Disney Co."
"WPO","Consumer Discretionary","Washington Post Co B"
"WM","Industrials","Waste Management Inc."
"WAT","Health Care","Waters Corporation"
"WPI","Health Care","Watson Pharmaceuticals"
"WFC","Financials","Wells Fargo"
"WDC","Information Technology","Western Digital"
"WY","Materials","Weyerhaeuser Corp."
"WHR","Consumer Discretionary","Whirlpool Corp."
"WFM","Consumer Staples","Whole Foods Market"
"WMB","Energy","Williams Cos."
"WEC","Utilities","Wisconsin Energy Corporation"
"WYNN","Consumer Discretionary","Wynn Resorts Ltd"
"XEL","Utilities","Xcel Energy Inc"
"XRX","Information Technology","Xerox Corp."
"XLNX","Information Technology","Xilinx Inc"
"XL","Financials","XL Capital"
"YHOO","Information Technology","Yahoo Inc."
"YUM","Consumer Discretionary","Yum! Brands Inc"
"ZMH","Health Care","Zimmer Holdings"
"ZION","Financials","Zions Bancorp"
